Condition,N,Pass@1,Mean Tokens,Median Tokens,Token 95% CI,Syntax Err %,Semantic Err %
toke_constrained,50,0.900,34.6,34.0,"[31.8, 37.5]",0.000,0.100
toke_unconstrained,50,0.760,39.7,42.5,"[35.9, 43.4]",0.140,0.100
python_constrained,50,0.880,49.6,51.0,"[45.0, 54.0]",0.040,0.080
python_unconstrained,50,0.640,47.1,46.0,"[42.7, 51.4]",0.200,0.240

Comparison,Metric,Test,Statistic,p-value,Effect Size,95% CI,
toke_constrained vs python_constrained,pass_at_1,McNemar,0.0000,1.0000,0.0200 (pass_rate_difference),"[-0.1200, 0.1400]",
toke_constrained vs python_constrained,token_count,Cohen_d,-0.8174,0.0000,-0.8174 (cohens_d),"[-19.9000, -9.9195]",
toke_unconstrained vs python_unconstrained,pass_at_1,McNemar,1.2500,0.2636,0.1200 (pass_rate_difference),"[-0.0600, 0.3000]",
toke_unconstrained vs python_unconstrained,token_count,Cohen_d,-0.3969,0.0072,-0.3969 (cohens_d),"[-12.4805, -2.2200]",
toke_constrained vs toke_unconstrained,pass_at_1,McNemar,2.1176,0.1456,0.1400 (pass_rate_difference),"[-0.0200, 0.3000]",
toke_constrained vs toke_unconstrained,token_count,Cohen_d,-0.3219,0.0272,-0.3219 (cohens_d),"[-9.5200, -0.7800]",
python_constrained vs python_unconstrained,pass_at_1,McNemar,6.7222,0.0095,0.2400 (pass_rate_difference),"[0.0800, 0.4000]",
python_constrained vs python_unconstrained,token_count,Cohen_d,0.1146,0.4217,0.1146 (cohens_d),"[-3.3400, 8.4400]",
